image_location,ground_truth_caption,llm_question
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000274687.jpg,The bicycle is against the bed.,"""Where is the bicycle in relation to the bed?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000305923.jpg,The bicycle is behind the teddy bear.,"""What is the position of the bicycle relative to the teddy bear?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000554084.jpg,The chair is under the teddy bear.,"""Where is the chair relative to the teddy bear?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000387000.jpg,The cat is close to the tv.,"""Where is the cat in relation to the tv?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000210404.jpg,The cake consists of the teddy bear.,"""What is the relationship between the cake and the teddy bear?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000552573.jpg,The person is in front of the umbrella.,"""Where is the person relative to the umbrella?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000057016.jpg,The bench is under the suitcase.,"""Where is the bench relative to the suitcase?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000301146.jpg,The cat is adjacent to the couch.,"""Where is the cat relative to the couch?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000178321.jpg,The chair is touching the bird.,"""How is the chair related to the bird?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000568005.jpg,The horse is at the left side of the zebra.,"""Where is the horse relative to the zebra?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000150703.jpg,The cup is left of the hot dog.,"""Where is the cup relative to the hot dog?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000366863.jpg,The person is at the left side of the bowl.,"""What is the location of the person relative to the bowl?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000297326.jpg,The cake is in front of the person.,"""Where is the cake relative to the person?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000317173.jpg,The bicycle is by the cat.,"""Where is the bicycle relative to the cat?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000467315.jpg,The person is far away from the potted plant.,"""Where is the person relative to the potted plant?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000006894.jpg,The person is touching the elephant.,"""Where is the person in relation to the elephant?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000245582.jpg,The pizza is below the cell phone.,"""Where is the pizza relative to the cell phone?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000109036.jpg,The banana is near the apple.,"""What is the relationship between the banana and the apple?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000423875.jpg,The banana is touching the motorcycle.,"""What is the relationship between the banana and the motorcycle?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000167300.jpg,The bed is below the backpack.,"""Where is the bed relative to the backpack?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000179805.jpg,The laptop is facing the person.,"""Which direction is the laptop facing?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000127324.jpg,The person is against the horse.,"""What is the position of the person relative to the horse?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000361778.jpg,The teddy bear is touching the book.,"""How is the teddy bear positioned relative to the book?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000025138.jpg,The keyboard is beneath the cat.,"""Where is the keyboard relative to the cat?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000240173.jpg,The traffic light is facing the bus.,"""Which direction is the traffic light facing relative to the bus?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000299457.jpg,The person is touching the donut.,"""What is the relationship between the person and the donut?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000085666.jpg,The zebra is in front of the person.,"""Where is the zebra relative to the person?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000303847.jpg,The elephant is beside the book.,"""Where is the elephant in relation to the book?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000071845.jpg,The chair is under the cat.,"""Where is the chair relative to the cat?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000395120.jpg,The knife is in the apple.,"""Where is the knife in relation to the apple?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000053479.jpg,The cat is on the laptop.,"""Where is the cat relative to the laptop?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000108113.jpg,The donut is next to the dog.,"""What is the relationship between the donut and the dog?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000469918.jpg,The cat is on top of the laptop.,"""Where is the cat relative to the laptop?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000485139.jpg,The cat is above the laptop.,"""Where is the cat relative to the laptop?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000549427.jpg,The carrot is far from the oven.,"""How is the carrot positioned relative to the oven?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000532667.jpg,The bird is below the umbrella.,"""Where is the bird relative to the umbrella?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000167450.jpg,The bench is in front of the bus.,"""What is the position of the bench relative to the bus?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000332867.jpg,The person is at the right side of the laptop.,"""Where is the person relative to the laptop?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000065443.jpg,The teddy bear is below the dog.,"""What is the position of the teddy bear relative to the dog?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000238455.jpg,The clock is at the left side of the bird.,"""Where is the clock relative to the bird?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000472309.jpg,The person is at the right side of the teddy bear.,"""Where is the person relative to the teddy bear?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000396528.jpg,The keyboard is behind the cake.,"""Where is the keyboard relative to the cake?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000047425.jpg,The cat is touching the person.,"""What is the relationship between the cat and the person?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000494329.jpg,The umbrella is far from the dining table.,"""Where is the umbrella in relation to the dining table?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000556360.jpg,The laptop is off the pizza.,"""What is the relationship between the laptop and the pizza?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000213819.jpg,The cat is on the remote.,"""What is the position of the cat relative to the remote?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000557896.jpg,The oven is next to the cake.,"""Where is the oven relative to the cake?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000281111.jpg,The person is left of the oven.,"""Where is the person relative to the oven?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000439117.jpg,The couch is left of the wine glass.,"""Where is the couch relative to the wine glass?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000027919.jpg,The dining table is next to the bus.,"""What is the relationship between the dining table and the bus?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000018862.jpg,The suitcase is under the dining table.,"""Where is the suitcase relative to the dining table?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000561393.jpg,The suitcase is next to the refrigerator.,"""Where is the suitcase relative to the refrigerator?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000000397.jpg,The pizza is over the dining table.,"""Where is the pizza relative to the dining table?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000112553.jpg,The cat is touching the person.,"""How is the cat positioned relative to the person?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000415755.jpg,The dining table is in front of the person.,"""What is the position of the dining table relative to the person?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000556341.jpg,The zebra is at the right side of the person.,"""Where is the zebra in relation to the person?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000150358.jpg,The teddy bear is beside the person.,"""Where is the teddy bear in relation to the person?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000160901.jpg,The cat is on top of the refrigerator.,"""Where is the cat relative to the refrigerator?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000010714.jpg,The teddy bear is facing the dining table.,"""What direction is the teddy bear facing?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000527844.jpg,The bus is far away from the umbrella.,"""What is the location of the bus relative to the umbrella?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000442218.jpg,The sandwich is in the bowl.,"""Where is the sandwich in relation to the bowl?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000129007.jpg,The cow is behind the person.,"""What is the position of the cow relative to the person?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000403144.jpg,The teddy bear is at the left side of the bed.,"""Where is the teddy bear in relation to the bed?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000381610.jpg,The oven is in front of the person.,"""What is the position of the oven relative to the person?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000380797.jpg,The truck is in front of the bus.,"""What is the position of the truck relative to the bus?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000419755.jpg,The person is touching the sheep.,"""What is the relationship between the person and the sheep?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000127760.jpg,The tv is in front of the teddy bear.,"""Where is the tv relative to the teddy bear?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000472392.jpg,The backpack is behind the suitcase.,"""Where is the backpack relative to the suitcase?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000119761.jpg,The potted plant is at the right side of the horse.,"""Where is the potted plant relative to the horse?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000105247.jpg,The pizza is on top of the oven.,"""Where is the pizza relative to the oven?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000018873.jpg,The cake has as a part the train.,"""What part of the cake is the train?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000036966.jpg,The bowl is facing the person.,"""Where is the bowl facing in relation to the person?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000477301.jpg,The bench is beside the cow.,"""Where is the bench in relation to the cow?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000561411.jpg,The person is beneath the dog.,"""Where is the person relative to the dog?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000116675.jpg,The car is facing away from the elephant.,"""Which direction is the car facing relative to the elephant?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000161112.jpg,The person is beside the suitcase.,"""Where is the person in relation to the suitcase?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000581153.jpg,The pizza is in front of the cat.,"""Where is the pizza relative to the cat?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000079853.jpg,The scissors is alongside the person.,"""What is the spatial relationship between the scissors and the person?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000004979.jpg,The chair is beneath the horse.,"""Where is the chair relative to the horse?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000070411.jpg,The suitcase is on the bed.,"""Where is the suitcase?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000032562.jpg,The airplane is next to the car.,"""What is the relationship between the airplane and the car?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000002139.jpg,The bicycle is next to the bed.,"""Where is the bicycle in relation to the bed?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000158601.jpg,The suitcase is in front of the cat.,"""Where is the suitcase relative to the cat?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000133876.jpg,The bed is under the person.,Where is the bed relative to the person?
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000461775.jpg,The cat is under the car.,"""Where is the cat relative to the car?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000198935.jpg,The fire hydrant is at the right side of the dog.,"""Where is the fire hydrant relative to the dog?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000224306.jpg,The laptop is at the right side of the donut.,Where is the laptop relative to the donut?
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000448024.jpg,The bench is close to the cat.,"""What is the relationship between the bench and the cat?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000428299.jpg,The dining table is touching the bowl.,"""How is the dining table positioned in relation to the bowl?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000570588.jpg,The train is perpendicular to the bench.,"""What is the orientation of the train relative to the bench?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000454818.jpg,The car contains the dog.,"""What is the relationship between the car and the dog?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000139355.jpg,The dog is left of the teddy bear.,"""Where is the dog relative to the teddy bear?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000259434.jpg,The person is away from the toaster.,"""Where is the person relative to the toaster?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000029370.jpg,The dining table is under the cat.,"""Where is the dining table relative to the cat?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000580454.jpg,The suitcase is touching the teddy bear.,"""What is the relationship between the suitcase and the teddy bear?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000016759.jpg,The dog is in front of the cat.,"""Where is the dog relative to the cat?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000125015.jpg,The sink is behind the person.,"""Where is the sink relative to the person?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000114843.jpg,The horse is under the person.,"""Where is the horse relative to the person?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000580651.jpg,The cat is in front of the tv.,"""Where is the cat relative to the tv?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000058677.jpg,The oven is at the back of the hot dog.,"""Where is the oven relative to the hot dog?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000223740.jpg,The pizza is in front of the person.,"""Where is the pizza relative to the person?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000494220.jpg,The keyboard is behind the sandwich.,"""Where is the keyboard relative to the sandwich?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000572993.jpg,The dining table is under the cat.,"""What is the spatial relationship between the dining table and the cat?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000136212.jpg,The hot dog is beside the cup.,"""What is the relationship between the hot dog and the cup?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000440940.jpg,The boat is connected to the person.,"""How is the boat connected to the person?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000349777.jpg,The cat is in the car.,"""Where is the cat?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000553975.jpg,The pizza is far from the cell phone.,"""What is the relative position of the pizza to the cell phone?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000402858.jpg,The laptop is above the chair.,"""What is the spatial relationship between the laptop and the chair?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000458642.jpg,The cake is in the microwave.,"""What is the location of the cake?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000232341.jpg,The dining table is touching the banana.,"""How is the dining table related to the banana?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000382737.jpg,The chair is under the cat.,"""What is the relationship between the chair and the cat?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000439774.jpg,The teddy bear is at the left side of the couch.,"""Where is the teddy bear in relation to the couch?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000039360.jpg,The bench is near the hot dog.,"""Where is the bench relative to the hot dog?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000009448.jpg,The person is in the middle of the umbrella.,"""Where is the person relative to the umbrella?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000195716.jpg,The dog is off the couch.,"""Where is the dog relative to the couch?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000299601.jpg,The dining table is touching the teddy bear.,"""How is the dining table related to the teddy bear?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000045830.jpg,The suitcase contains the cat.,"""What is the relationship between the suitcase and the cat?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000314893.jpg,The bicycle is at the right side of the boat.,"""Where is the bicycle in relation to the boat?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000046378.jpg,The cat is above the bird.,"""What is the spatial relationship between the cat and the bird?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000367848.jpg,The bed is facing the couch.,"""What direction is the bed relative to the couch?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000261225.jpg,The vase contains the cat.,"""Where is the cat in relation to the vase?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000342675.jpg,The book is in front of the train.,"""Where is the book relative to the train?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000022154.jpg,The umbrella is on top of the car.,"""Where is the umbrella relative to the car?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000395324.jpg,The person is far from the motorcycle.,"""How far is the person from the motorcycle?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000563615.jpg,The person is below the hair drier.,"""Where is the person relative to the hair drier?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000421231.jpg,The person is close to the cake.,"""Where is the person relative to the cake?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000380525.jpg,The cat is behind the donut.,"""Where is the cat relative to the donut?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000040931.jpg,The cat is under the car.,"""Where is the cat relative to the car?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000222408.jpg,The cup is in front of the laptop.,"""Where is the cup relative to the laptop?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000406026.jpg,The couch is close to the pizza.,"""What is the relationship between the couch and the pizza?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000381323.jpg,The toilet is at the left side of the cat.,"""Where is the toilet relative to the cat?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000469317.jpg,The cat is touching the dining table.,"""What is the relationship between the cat and the dining table?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000260347.jpg,The cup is at the left side of the banana.,"""Where is the cup relative to the banana?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000570783.jpg,The bicycle is beside the teddy bear.,"""Where is the bicycle in relation to the teddy bear?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000134688.jpg,The dining table is under the teddy bear.,"""What is the spatial relationship between the dining table and the teddy bear?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000077426.jpg,The carrot is across from the couch.,"""Where is the carrot relative to the couch?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000228994.jpg,The backpack contains the teddy bear.,"""What is the spatial relationship between the backpack and the teddy bear?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000555574.jpg,The cat is on top of the dining table.,"""What is the relationship between the cat and the dining table?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000560526.jpg,The person is above the sandwich.,"""Where is the person relative to the sandwich?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000554892.jpg,The truck is below the giraffe.,"""Where is the truck relative to the giraffe?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000529968.jpg,The motorcycle is beneath the cat.,"""Where is the motorcycle relative to the cat?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000253890.jpg,The bowl is surrounding the apple.,"""What is the relationship between the bowl and the apple?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000485149.jpg,The laptop is facing the cat.,"""Which direction is the laptop facing?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000123791.jpg,The bottle is in front of the laptop.,"""What is the position of the bottle relative to the laptop?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000327638.jpg,The pizza is on the dining table.,"""Where is the pizza?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000575755.jpg,The broccoli is in the sandwich.,"""What is the position of the broccoli in relation to the sandwich?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000051735.jpg,The person is touching the broccoli.,"""How is the person related to the broccoli?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000260398.jpg,The person is touching the cake.,"""How is the person related to the cake?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000563138.jpg,The bed is under the backpack.,"""What is the spatial relationship between the bed and the backpack?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000315065.jpg,The chair is far from the airplane.,"""What is the distance between the chair and the airplane?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000459400.jpg,The person is facing the toilet.,"""What direction is the person facing relative to the toilet?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000396725.jpg,The oven contains the cake.,"""Where is the cake in relation to the oven?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000158322.jpg,The person is touching the dog.,"""What is the relationship between the person and the dog?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000076762.jpg,The tv is in front of the cat.,"""Where is the tv relative to the cat?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000173155.jpg,The car is parallel to the motorcycle.,"""What is the relationship between the car and the motorcycle?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000488004.jpg,The cat is inside the suitcase.,"""What is the spatial relationship between the cat and the suitcase?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000093031.jpg,The cake is touching the banana.,"""What is the relationship between the cake and the banana?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000253290.jpg,The sandwich is in the middle of the dining table.,"""Where is the sandwich relative to the dining table?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000071784.jpg,The apple is off the orange.,"""Where is the apple relative to the orange?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000558700.jpg,The laptop is on top of the bench.,"""Where is the laptop relative to the bench?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000034482.jpg,The parking meter is at the back of the car.,"""Where is the parking meter relative to the car?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000365027.jpg,The teddy bear is in the car.,"""Where is the teddy bear?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000228857.jpg,The laptop is at the left side of the dog.,"""Where is the laptop in relation to the dog?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000416767.jpg,The person is at the left side of the dining table.,"""Where is the person in relation to the dining table?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000007730.jpg,The cat is enclosed by the suitcase.,"""What is the relationship between the cat and the suitcase?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000451121.jpg,The person is touching the donut.,"""What is the relationship between the person and the donut?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000282720.jpg,The donut is above the laptop.,"""What is the spatial relationship between the donut and the laptop?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000122109.jpg,The cup is on the book.,"""Where is the cup in relation to the book?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000487225.jpg,The bowl is near the toaster.,"""Where is the bowl relative to the toaster?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000112363.jpg,The umbrella is on the boat.,"""Where is the umbrella?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000499930.jpg,The dog is out of the chair.,"""What is the location of the dog relative to the chair?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000372870.jpg,The potted plant is at the right side of the cat.,"""Where is the potted plant relative to the cat?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000326689.jpg,The person is outside the car.,"""What is the relationship between the person and the car?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000460495.jpg,The cat is near the couch.,"""Where is the cat relative to the couch?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000111157.jpg,The person is in the bus.,"""Where is the person?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000081871.jpg,The person is facing the keyboard.,"""Which direction is the person facing towards?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000439525.jpg,The person is touching the cake.,"""How is the person related to the cake?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000253487.jpg,The horse is beside the person.,"""Where is the horse in relation to the person?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000355124.jpg,The hair drier is on the chair.,"""Where is the hair drier?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000031653.jpg,The person is with the banana.,"""Where is the person in relation to the banana?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000474609.jpg,The person is at the right side of the oven.,"""Where is the person relative to the oven?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000570518.jpg,The broccoli is in front of the sandwich.,"""What is the position of the broccoli relative to the sandwich?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000031135.jpg,The dining table is under the sandwich.,"""Where is the dining table relative to the sandwich?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000188079.jpg,The frisbee is touching the backpack.,"""What is the relationship between the frisbee and the backpack?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000080336.jpg,The cow is at the back of the person.,"""What is the position of the cow relative to the person?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000429633.jpg,The motorcycle is at the right side of the person.,"""Where is the motorcycle in relation to the person?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000108484.jpg,The dining table is touching the teddy bear.,"""Where is the dining table in relation to the teddy bear?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000257021.jpg,The couch is behind the bed.,"""What is the location of the couch relative to the bed?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000278962.jpg,The oven is surrounding the pizza.,"""What is the relationship between the oven and the pizza?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000237922.jpg,The dining table is within the boat.,"""Where is the dining table in relation to the boat?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000434275.jpg,The laptop is left of the dog.,"""Where is the laptop relative to the dog?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000460617.jpg,The cake is at the right side of the potted plant.,"""What is the position of the cake relative to the potted plant?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000089902.jpg,The book is in the train.,"""What is the location of the book?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000350727.jpg,The bowl is surrounding the cat.,"""Where is the bowl relative to the cat?"""
